,Periodo,1.Dólar observado,year,mes,dia
12198,2016-01-01,,2016,01,01
12199,2016-01-02,,2016,01,02
12200,2016-01-03,,2016,01,03
12201,2016-01-04,710.16,2016,01,04
12202,2016-01-05,716.94,2016,01,05
12203,2016-01-06,715.08,2016,01,06
12204,2016-01-07,715.84,2016,01,07
12205,2016-01-08,721.31,2016,01,08
12206,2016-01-09,,2016,01,09
12207,2016-01-10,,2016,01,10
12208,2016-01-11,723.31,2016,01,11
12209,2016-01-12,729.78,2016,01,12
12210,2016-01-13,730.28,2016,01,13
12211,2016-01-14,726.57,2016,01,14
12212,2016-01-15,725.98,2016,01,15
12213,2016-01-16,,2016,01,16
12214,2016-01-17,,2016,01,17
12215,2016-01-18,730.31,2016,01,18
12216,2016-01-19,730.2,2016,01,19
12217,2016-01-20,726.19,2016,01,20
12218,2016-01-21,729.22,2016,01,21
12219,2016-01-22,726.63,2016,01,22
12220,2016-01-23,,2016,01,23
12221,2016-01-24,,2016,01,24
12222,2016-01-25,715.63,2016,01,25
12223,2016-01-26,717.46,2016,01,26
12224,2016-01-27,720.14,2016,01,27
12225,2016-01-28,716.21,2016,01,28
12226,2016-01-29,711.72,2016,01,29
12227,2016-01-30,,2016,01,30
12228,2016-01-31,,2016,01,31
12229,2016-02-01,710.37,2016,02,01
12230,2016-02-02,714.44,2016,02,02
12231,2016-02-03,713.54,2016,02,03
12232,2016-02-04,709.43,2016,02,04
12233,2016-02-05,698.49,2016,02,05
12234,2016-02-06,,2016,02,06
12235,2016-02-07,,2016,02,07
12236,2016-02-08,700.02,2016,02,08
12237,2016-02-09,709.75,2016,02,09
12238,2016-02-10,715.41,2016,02,10
12239,2016-02-11,711.34,2016,02,11
12240,2016-02-12,713.47,2016,02,12
12241,2016-02-13,,2016,02,13
12242,2016-02-14,,2016,02,14
12243,2016-02-15,708.63,2016,02,15
12244,2016-02-16,701.39,2016,02,16
12245,2016-02-17,704.92,2016,02,17
12246,2016-02-18,705.44,2016,02,18
12247,2016-02-19,700.74,2016,02,19
12248,2016-02-20,,2016,02,20
12249,2016-02-21,,2016,02,21
12250,2016-02-22,702.38,2016,02,22
12251,2016-02-23,693.78,2016,02,23
12252,2016-02-24,693.23,2016,02,24
12253,2016-02-25,698.47,2016,02,25
12254,2016-02-26,691.36,2016,02,26
12255,2016-02-27,,2016,02,27
12256,2016-02-28,,2016,02,28
12257,2016-02-29,689.18,2016,02,29
12258,2016-03-01,694.17,2016,03,01
12259,2016-03-02,694.82,2016,03,02
12260,2016-03-03,688.48,2016,03,03
12261,2016-03-04,686.64,2016,03,04
12262,2016-03-05,,2016,03,05
12263,2016-03-06,,2016,03,06
12264,2016-03-07,681.39,2016,03,07
12265,2016-03-08,681.63,2016,03,08
12266,2016-03-09,682.0,2016,03,09
12267,2016-03-10,678.72,2016,03,10
12268,2016-03-11,678.22,2016,03,11
12269,2016-03-12,,2016,03,12
12270,2016-03-13,,2016,03,13
12271,2016-03-14,683.0,2016,03,14
12272,2016-03-15,684.74,2016,03,15
12273,2016-03-16,685.98,2016,03,16
12274,2016-03-17,688.11,2016,03,17
12275,2016-03-18,672.06,2016,03,18
12276,2016-03-19,,2016,03,19
12277,2016-03-20,,2016,03,20
12278,2016-03-21,671.97,2016,03,21
